Date,Open,High,Low,Close
08/28/2020,42.98,43.42,42.69,42.97
08/27/2020,43.45,43.5,42.36,43.04
08/26/2020,43.39,43.78,43,43.39
08/25/2020,42.36,43.57,42.31,43.35
08/24/2020,42.48,42.89,42.23,42.62
08/21/2020,42.75,42.96,41.46,42.34
08/20/2020,42.74,42.8,41.5,42.58
08/19/2020,42.6,43.03,42.36,42.93
08/18/2020,42.79,42.99,42.11,42.89
08/17/2020,42.24,42.97,41.8,42.89
08/14/2020,42.33,42.57,41.62,42.01
08/13/2020,42.57,42.84,42.09,42.24
08/12/2020,41.62,42.9,41.53,42.67
08/11/2020,41.98,42.94,41.48,41.61
08/10/2020,41.5,42.33,41.17,41.94
08/07/2020,41.97,42.22,41.06,41.22
08/06/2020,42.19,42.65,41.61,41.95
08/05/2020,41.56,43.52,41.47,42.19
08/04/2020,40.78,42.08,40.14,41.7
08/03/2020,40.39,41.24,39.58,41.01
07/31/2020,40.34,40.55,39.66,40.27
07/30/2020,41.32,41.39,38.72,39.92
07/29/2020,41.13,41.57,40.93,41.27
07/28/2020,41.65,41.93,40.85,41.04
07/27/2020,41.26,41.82,40.48,41.6
07/24/2020,41.06,41.67,40.66,41.29
07/23/2020,41.95,42.36,40.83,41.07
07/22/2020,41.54,42.03,41.14,41.9
07/21/2020,40.65,42.4,40.64,41.96
07/20/2020,40.64,40.91,39.83,40.81
07/17/2020,40.72,40.9,40.02,40.59
07/16/2020,40.97,41.18,40.52,40.75
07/15/2020,40.55,41.26,40.08,41.2
07/14/2020,39.6,40.57,39.07,40.29
07/13/2020,40.35,40.72,39.47,40.1
07/10/2020,39.58,40.77,38.54,40.55
07/09/2020,40.87,40.99,39.27,39.62
07/08/2020,40.48,41.08,40.3,40.9
07/07/2020,40.68,40.95,39.9,40.62
07/06/2020,40.31,41.08,40.15,40.63
07/02/2020,39.78,40.74,39.46,40.65
07/01/2020,39.84,40.58,39.05,39.82
06/30/2020,39.64,40.08,38.85,39.27
06/29/2020,37.96,39.89,37.5,39.7
06/26/2020,39.09,39.35,37.79,38.49
06/25/2020,38.05,39.23,37.08,38.72
06/24/2020,39.99,40.54,37.31,38.01
06/23/2020,40.68,41.63,39.76,40.37
06/22/2020,39.18,40.7,39.12,40.46
06/19/2020,38.85,40.5,38.4,39.75
06/18/2020,37.74,38.97,37.11,38.84
06/17/2020,37.93,38.75,37.21,37.96
06/16/2020,37.05,39.06,36.38,38.38
06/15/2020,36.03,37.26,34.36,37.12
06/12/2020,36.26,36.99,34.48,36.26
06/11/2020,39.09,39.09,35.41,36.34
06/10/2020,38.5,39.91,37.73,39.6
06/09/2020,38.22,39.1,37.07,38.94
06/08/2020,39.41,40.44,37.96,38.19
06/05/2020,37.33,39.68,37.05,39.55
06/04/2020,36.76,37.62,36.38,37.41
06/03/2020,36.86,38.18,35.88,37.29
06/02/2020,35.56,37.06,35.28,36.81
